feature,channel,band,importance_mean,importance_std
logabs_Iz_beta,Iz,beta,0.0034713476362960628,0.0003713630057986887
logabs_Iz_alpha,Iz,alpha,0.0029928485186216935,0.0006254543878479076
rel_AF8_gamma,AF8,gamma,0.002981951023188145,0.0006542487850489301
logabs_Fpz_gamma,Fpz,gamma,0.002868270332187839,0.0005885277100168192
rel_T10_gamma,T10,gamma,0.0028534101111419964,0.0009882594462112435
logabs_PO8_alpha,PO8,alpha,0.0027548373115383606,0.0008345596366805635
rel_T8_gamma,T8,gamma,0.0025148447416488695,0.0006162401659032448
logabs_Iz_gamma,Iz,gamma,0.0023813504225874693,0.0002443265185855536
logabs_AF3_gamma,AF3,gamma,0.00226073496176582,0.0002484142260673487
logabs_AFz_gamma,AFz,gamma,0.002238939970898679,0.00021233887201771583
logabs_PO7_alpha,PO7,alpha,0.0020762205504473606,0.0005372138330386355
logabs_Cz_gamma,Cz,gamma,0.001884523698956686,0.0002314775910983578
rel_Fp1_beta,Fp1,beta,0.0018761029070307079,0.0005183350520546051
logabs_O2_beta,O2,beta,0.0017552397758583194,0.000335769755455901
logabs_AF7_gamma,AF7,gamma,0.0017483050060369098,0.0003023094372333514
logabs_CP2_gamma,CP2,gamma,0.0017403795548125655,0.000183721659191923
logabs_P1_beta,P1,beta,0.0016856444072938848,0.00023316213515591454
rel_AF7_gamma,AF7,gamma,0.0016502275471347305,0.00040175657980061997
logabs_O2_alpha,O2,alpha,0.001639825392402683,0.0005777313215953525
logabs_AF8_gamma,AF8,gamma,0.00161431534627412,0.0006018739105696761
rel_CP4_beta,CP4,beta,0.001592768025757696,0.0003474731168864973
rel_FC5_gamma,FC5,gamma,0.0015759264419057395,0.00030656307469315
rel_Iz_theta,Iz,theta,0.001547692021918734,0.00018815189066848854
rel_F3_gamma,F3,gamma,0.0015231726571932613,0.00029584635488557736
logabs_P1_gamma,P1,gamma,0.001500139314572313,8.830272955057877e-05
logabs_CPz_gamma,CPz,gamma,0.001478839664406606,0.0001928148277875943
logabs_C3_gamma,C3,gamma,0.0014117209993498524,0.00019933693983489696
derived_occ_alpha_theta_logratio,-,derived,0.0013701123804216175,0.0004717074130135034
logabs_T10_gamma,T10,gamma,0.0013624345995479682,0.00042496753694608075
logabs_AF7_beta,AF7,beta,0.0013460883563976012,0.00029353691033054375
rel_PO8_alpha,PO8,alpha,0.0013198352992167095,0.0005347950190987659
logabs_F7_gamma,F7,gamma,0.0013153772329029367,0.00024232920685416547
rel_PO8_delta,PO8,delta,0.0013062134299247409,0.00033031593287178077
logabs_P3_beta,P3,beta,0.001278969691340781,0.00023501867502393712
logabs_CP4_gamma,CP4,gamma,0.0012576700411751184,0.00023515722682916366
logabs_O1_alpha,O1,alpha,0.001256927030122945,0.0003415409159119831
logabs_PO7_beta,PO7,beta,0.0012185381257545425,0.00022974545734746776
rel_AF7_beta,AF7,beta,0.001212594037336223,0.00018629091420696323
logabs_CP3_gamma,CP3,gamma,0.0011652890003405192,0.0001343528903335709
rel_Cz_gamma,Cz,gamma,0.0011474567350855613,0.00036872168332053467
logabs_AF3_beta,AF3,beta,0.0011452277019287083,0.00021291930667456923
rel_Iz_delta,Iz,delta,0.0011152595894863948,0.00021410611204231053
rel_FT8_beta,FT8,beta,0.0010951982910745838,0.0006069826818772793
logabs_PO3_alpha,PO3,alpha,0.0010855391473947762,0.00031207899078688995
logabs_P8_alpha,P8,alpha,0.001076375344416558,0.0004214527117360058
logabs_PO8_beta,PO8,beta,0.0010699359152966936,0.00023491111713458526
logabs_FC5_gamma,FC5,gamma,0.0010417014953097103,0.00018633865270208525
rel_C2_delta,C2,delta,0.0010325376923315144,0.0002834147566919369
logabs_Fp1_gamma,Fp1,gamma,0.0010300609888238776,0.0002625205246118748
logabs_PO3_beta,PO3,beta,0.0009723537970960372,0.000185576668540507
rel_PO3_delta,PO3,delta,0.000966905049379263,0.00042891356560663873
logabs_FC6_delta,FC6,delta,0.0009572459056994553,0.00032279438453377765
logabs_P8_theta,P8,theta,0.0009508064765796576,0.0002515328669393506
logabs_P5_beta,P5,beta,0.0009386706293923019,0.00014561879318654566
rel_Iz_alpha,Iz,alpha,0.000936936936936883,0.000397890415868132
logabs_AF4_beta,AF4,beta,0.0009354509148322698,0.00018573889301487916
rel_AFz_gamma,AFz,gamma,0.000933469552026156,0.00037705108393908094
logabs_FT8_beta,FT8,beta,0.0009218290455403899,0.0007220568170546047
logabs_CP4_beta,CP4,beta,0.0009143989350174353,0.00021581682288364615
logabs_Oz_gamma,Oz,gamma,0.0009022630878300797,0.00012292436167689756
rel_FCz_beta,FCz,beta,0.0008789820748583033,0.00020595602807138216
rel_CP5_gamma,CP5,gamma,0.0008770007120522561,0.000280480958814248
logabs_P7_alpha,P7,alpha,0.0008757623602984044,0.00020551774650168884
rel_PO8_gamma,PO8,gamma,0.0008376211262808742,0.001281131861812578
logabs_CP2_beta,CP2,beta,0.0008329153896164509,0.00016507484350304503
logabs_TP7_beta,TP7,beta,0.0008314293675118379,0.00017444258139805106
logabs_CPz_beta,CPz,beta,0.0008195411906751993,0.00014951865434504745
rel_F2_beta,F2,beta,0.0008116157394507217,0.00025587667671172847
logabs_CP1_beta,CP1,beta,0.0007722361536794287,7.331042382592196e-05
rel_T8_theta,T8,theta,0.0007618339989474033,0.00014154615148073105
rel_C5_gamma,C5,gamma,0.0007323612272066126,0.0006673402114051163
logabs_AF4_alpha,AF4,alpha,0.0007303798644004544,0.00033855585751366466
logabs_PO7_delta,PO7,delta,0.000729141512646625,0.00016243550161545365
logabs_FT8_gamma,FT8,gamma,0.0007239404352806344,0.00041006507054395987
logabs_AF3_alpha,AF3,alpha,0.0007184916875637937,0.0004230818572652557
rel_POz_gamma,POz,gamma,0.0007113092473916671,0.0002829134850121489
logabs_FC4_theta,FC4,theta,0.0006934769821367315,0.00020688555365006839
logabs_CP3_beta,CP3,beta,0.0006929816414351642,9.634535814540964e-05
logabs_Fz_beta,Fz,beta,0.0006905049379275941,6.600589097661755e-05
rel_C1_delta,C1,delta,0.0006892665861738089,0.00011466522059890582
rel_Fp2_beta,Fp2,beta,0.0006860468716138434,0.00019281896346176546
rel_F1_beta,F1,beta,0.0006808457942478307,9.375688626303939e-05
rel_F7_gamma,F7,gamma,0.000675397046531101,0.0005550682122114106
rel_Iz_gamma,Iz,gamma,0.0006664809139035998,0.00021974432362686485
rel_AFz_beta,AFz,beta,0.0006664809139035555,0.0001622862690092674
logabs_P3_gamma,P3,gamma,0.0006635088696943959,5.817565135391707e-05
rel_Fz_beta,Fz,beta,0.0006615275068882597,0.0001524720314013753
rel_C6_gamma,C6,gamma,0.0006597938144329741,0.0004890153079160578
logabs_O1_beta,O1,beta,0.0006578124516268824,0.0001386697424827417
rel_T8_delta,T8,delta,0.000648648648648642,0.00025345814585984604
logabs_PO4_alpha,PO4,alpha,0.0006337884276027995,0.0002245393660278118
logabs_AF8_beta,AF8,beta,0.0006293303612891155,0.00036222870488505747
logabs_CP5_beta,CP5,beta,0.00062536763567691,0.00012487842652346315
logabs_F1_beta,F1,beta,0.0006127364477879649,6.360066588455533e-05
