subject,n_epochs,accuracy
S001,57,0.8596491228070176
S002,59,0.847457627118644
S003,42,0.9285714285714286
S004,60,1.0
S005,60,0.5833333333333334
S006,60,0.55
S007,60,0.65
S008,60,0.8333333333333334
S010,48,0.8958333333333334
S011,60,0.9166666666666666
S012,60,0.7
S013,51,0.9607843137254902
S014,60,0.85
S015,58,0.6724137931034483
S016,60,0.7833333333333333
S017,55,1.0
S018,59,0.9661016949152542
S019,58,0.5689655172413793
S020,60,0.6333333333333333
S021,60,0.8833333333333333
S023,40,0.925
S024,57,0.9649122807017544
S025,60,0.9166666666666666
S026,60,0.7166666666666667
S027,56,0.9642857142857143
S028,49,0.8367346938775511
S029,60,0.85
S030,60,0.8
S031,60,0.7166666666666667
S032,57,0.7543859649122807
S033,60,0.5333333333333333
S034,60,0.7166666666666667
S035,60,0.7
S036,50,0.86
S037,60,0.7
S038,57,0.8771929824561403
S039,52,0.9230769230769231
S040,56,0.8035714285714286
S041,60,0.9
S042,60,0.9
S043,39,0.8461538461538461
S044,21,0.9047619047619048
S045,56,0.5535714285714286
S046,60,0.8666666666666667
S047,59,0.9322033898305084
S048,25,0.68
S049,49,0.9591836734693877
S050,60,0.9833333333333333
S051,60,0.5333333333333333
S052,25,0.24
S053,42,0.8571428571428571
S054,21,0.7142857142857143
S055,60,0.95
S056,59,0.6440677966101694
S057,60,0.5
S058,60,0.5666666666666667
S059,42,0.7380952380952381
S061,43,0.7209302325581395
S062,60,0.65
S063,60,0.75
S064,60,0.8666666666666667
S065,59,0.7966101694915254
S066,60,0.6166666666666667
S067,60,0.5666666666666667
S068,60,0.8833333333333333
S069,60,0.85
S070,56,0.6785714285714286
S071,57,0.8596491228070176
S072,60,0.9333333333333333
S073,59,0.7796610169491526
S074,60,0.7666666666666667
S075,20,0.95
S076,60,0.7333333333333333
S077,46,0.5869565217391305
S078,60,0.7166666666666667
S079,59,0.8983050847457628
S080,60,0.9666666666666667
S081,56,0.8928571428571429
S082,60,0.7333333333333333
S083,60,0.6
S084,54,0.5
S085,60,1.0
S086,43,0.627906976744186
S087,45,0.9555555555555556
S088,57,0.5087719298245614
S089,60,0.5333333333333333
S090,30,0.43333333333333335
S091,36,0.9166666666666666
S092,52,0.8653846153846154
S093,60,0.7833333333333333
S094,54,0.7037037037037037
S095,53,0.9056603773584906
S096,32,0.34375
S097,54,0.9629629629629629
S098,60,0.6
S099,60,0.8
S100,54,0.5555555555555556
S101,58,0.5862068965517241
S102,60,0.8666666666666667
S103,28,0.8571428571428571
S104,56,0.8214285714285714
S105,60,0.9333333333333333
S106,45,0.8666666666666667
S107,60,0.8666666666666667
S108,42,0.8809523809523809
S109,57,0.9473684210526315
