analysis,setting,roc_auc,accuracy,n_features,precision,recall,f1,sensitivity,specificity,tn,fp,fn,tp,n,n_subjects,n_epochs
feature_family,all_features,0.8941518838426055,0.8008898776418243,674,0.8487084870848709,0.745945945945946,0.7940161104718066,0.745945945945946,0.8591065292096219,750,123,235,690,1798,,
feature_family,relative_only,0.8825621497786447,0.7992213570634038,320,0.8691099476439791,0.7178378378378378,0.7862640615748964,0.7178378378378378,0.8854524627720504,773,100,261,664,1798,,
feature_family,absolute_only,0.8999238413671404,0.8047830923248054,320,0.847457627118644,0.7567567567567568,0.799543118218161,0.7567567567567568,0.8556701030927835,747,126,225,700,1798,,
feature_family,alpha_only,0.8727283985015944,0.7808676307007787,134,0.8622100954979536,0.6832432432432433,0.7623642943305187,0.6832432432432433,0.8843069873997709,772,101,293,632,1798,,
feature_family,exclude_alpha,0.891541438345562,0.7997775305895439,540,0.8491965389369592,0.7427027027027027,0.7923875432525952,0.7427027027027027,0.8602520045819015,751,122,238,687,1798,,
artifact_rejection,none,0.8941518838426055,0.8008898776418243,674,0.8487084870848709,0.745945945945946,0.7940161104718066,0.745945945945946,0.8591065292096219,750,123,235,690,1798,106.0,5704.0
artifact_rejection,200uV,0.8893369855780338,0.8118175979447656,674,0.8245382585751979,0.7961783439490446,0.8101101749837978,0.7961783439490446,0.8277202072538861,639,133,160,625,1557,103.0,4899.0
artifact_rejection,250uV,0.8941518838426055,0.8008898776418243,674,0.8487084870848709,0.745945945945946,0.7940161104718066,0.745945945945946,0.8591065292096219,750,123,235,690,1798,106.0,5704.0
artifact_rejection,350uV,0.9108948432760363,0.8091050181065701,674,0.8209109730848861,0.8018200202224469,0.8112531969309463,0.8018200202224469,0.8167372881355932,771,173,196,793,1933,109.0,6375.0
referencing,average,0.8941518838426055,0.8008898776418243,674,0.8487084870848709,0.745945945945946,0.7940161104718066,0.745945945945946,0.8591065292096219,750,123,235,690,1798,,
referencing,none,0.8691114980514789,0.7808219178082192,674,0.7996894409937888,0.8021806853582555,0.8009331259720062,0.8021806853582555,0.7547528517110266,397,129,127,515,1168,,
band_definition,standard,0.8941518838426055,0.8008898776418243,674,0.8487084870848709,0.745945945945946,0.7940161104718066,0.745945945945946,0.8591065292096219,750,123,235,690,1798,,
band_definition,alt_alpha_7_13,0.8929965016562954,0.8031145717463849,674,0.8485958485958486,0.7513513513513513,0.7970183486238532,0.7513513513513513,0.8579610538373424,749,124,230,695,1798,,
ica,not_applied,0.8941518838426055,0.8008898776418243,674,0.8487084870848709,0.745945945945946,0.7940161104718066,0.745945945945946,0.8591065292096219,750,123,235,690,1798,,
ica,applied_fp1_proxy,0.8665680104287197,0.7770053475935829,674,0.8176470588235294,0.7262277951933125,0.7692307692307693,0.7262277951933125,0.8302300109529025,758,155,262,695,1870,,
