window_s,electrode_set,n_electrodes,roc_auc,accuracy
0.5,all_64,64,0.8637026819899579,0.771646535282899
0.5,ten_twenty_19,19,0.8237404934480665,0.7345200254291163
0.5,occipital_9,9,0.8125160091964586,0.733375715193897
0.5,occipital_3,3,0.7919464880156772,0.7184996821360458
0.5,occipital_1,1,0.7708362764381368,0.6990464081373172
0.5,headband_3,3,0.7680357343376372,0.684043229497775
0.5,headband_1,1,0.7322495204356261,0.6628099173553719
1.0,all_64,64,0.8792829167400106,0.7890461215932913
1.0,ten_twenty_19,19,0.8432076218975533,0.7463312368972747
1.0,occipital_9,9,0.8482801773455377,0.7646750524109015
1.0,occipital_3,3,0.82922598354163,0.7602201257861635
1.0,occipital_1,1,0.8137750836120402,0.7424004192872118
1.0,headband_3,3,0.8040637101742651,0.7125262054507338
1.0,headband_1,1,0.7741561784897025,0.6941823899371069
2.0,all_64,64,0.8941518838426055,0.8008898776418243
2.0,ten_twenty_19,19,0.8889569982353488,0.7814238042269188
2.0,occipital_9,9,0.8438017398842141,0.7541713014460512
2.0,occipital_3,3,0.8299433454072629,0.7419354838709677
2.0,occipital_1,1,0.8170954459614254,0.7408231368186874
2.0,headband_3,3,0.7760366552119129,0.6840934371523916
2.0,headband_1,1,0.7390285130491316,0.6629588431590656
4.0,all_64,64,0.9382394841920101,0.8604651162790697
4.0,ten_twenty_19,19,0.9277521018239218,0.8462532299741602
4.0,occipital_9,9,0.8991793355761707,0.8126614987080103
4.0,occipital_3,3,0.8897554058844381,0.7958656330749354
4.0,occipital_1,1,0.8855082835606269,0.7777777777777778
4.0,headband_3,3,0.8543270484840784,0.7674418604651163
4.0,headband_1,1,0.8501401215947777,0.7635658914728682
8.0,all_64,64,0.9174363889857093,0.8217821782178217
8.0,ten_twenty_19,19,0.9021436040432206,0.801980198019802
8.0,occipital_9,9,0.8873300801673056,0.8085808580858086
8.0,occipital_3,3,0.8875479261066574,0.7788778877887789
8.0,occipital_1,1,0.8779191355873127,0.7755775577557755
8.0,headband_3,3,0.8806204252352736,0.7821782178217822
8.0,headband_1,1,0.8751742767514813,0.7524752475247525
